80.23452,12.93723
80.23462,12.93743
80.23476,12.93772
80.23483,12.93785
80.23498,12.93818
80.23513,12.93847
80.23519,12.93843
80.23533,12.93872
80.23546,12.93894
80.2355,12.939
80.23557,12.93913
80.23562,12.93924
80.23567,12.93934
80.23572,12.93946
80.2358,12.93969
80.23586,12.93983
80.23591,12.93995
80.23589,12.93993
80.23588,12.93993
80.23587,12.93991
80.23581,12.93975
80.2358,12.93974
80.23579,12.93974
80.23572,12.93977
80.23565,12.9398
80.23556,12.93983
80.23555,12.93985
80.23555,12.93986
80.23555,12.93987
80.23555,12.93988
80.23556,12.93988
80.23556,12.93989
80.23557,12.93991
80.23561,12.93994
80.23568,12.94012
80.23582,12.94061
80.23595,12.94114
80.23604,12.94151
80.23614,12.94187
80.23614,12.94189
80.23616,12.94194
80.23622,12.9422
80.2363,12.94246
80.23634,12.94257
80.2364,12.94271
80.23646,12.94282
80.23642,12.94289
80.23651,12.94367
80.23642,12.94384
80.23637,12.94396
80.23635,12.94405
80.23634,12.94411
80.23634,12.94417
80.23634,12.9442
80.23637,12.94432
80.23533,12.94457
80.2353,12.94465
80.23424,12.94489
80.23423,12.94487
80.23419,12.94469
80.23417,12.9447
80.23395,12.94474
80.23407,12.94526
80.23409,12.94536
80.23423,12.9458
80.23427,12.94595
80.23433,12.9462
80.23444,12.94662
80.23452,12.94705
80.23454,12.94715
80.23455,12.94721
80.23455,12.94726
80.23456,12.94729
80.23456,12.94732
80.23456,12.94736
80.23456,12.9474
80.23455,12.94785
80.23456,12.94789
80.23459,12.9483
80.2346,12.94835
80.23465,12.94894
80.2347,12.94937
80.23474,12.94984
80.23475,12.94994
80.2345,12.94997
80.23434,12.94999
80.23412,12.95
80.23398,12.95
80.2335,12.94999
80.2325,12.94993
80.23218,12.9499
80.23212,12.9499
80.23107,12.94981
80.22928,12.9497
80.22779,12.94963
80.22553,12.94952
80.22444,12.94947
80.22362,12.94942
80.22325,12.94941
80.22285,12.94939
80.22232,12.94936
80.22183,12.94933
80.22127,12.94928
80.22058,12.94922
80.21979,12.94914
80.21803,12.94896
80.21784,12.94894
80.21753,12.94891
80.21732,12.94889
80.21705,12.94886
80.21545,12.94869
80.21419,12.94856
80.21359,12.9485
80.21314,12.94846
80.21245,12.94841
80.21201,12.94839
80.21165,12.94838
80.21115,12.94837
80.21043,12.94837
80.21013,12.94838
80.20981,12.94844
80.20952,12.94846
80.20859,12.94852
80.20796,12.94856
80.2077,12.94859
80.20749,12.94861
80.20694,12.94865
80.20629,12.94867
80.20575,12.94869
80.20535,12.94868
80.2051,12.94867
80.20315,12.94863
80.20349,12.94725
80.20356,12.94696
80.20363,12.94668
80.20379,12.94586
80.20396,12.94507
80.20412,12.94435
80.20427,12.94355
80.20463,12.94352
80.20476,12.94351
80.20488,12.94349
80.20535,12.94346
80.20545,12.94345
80.20573,12.94343
80.20594,12.94342
80.20631,12.94339
80.20634,12.94339
80.20697,12.9433
80.20715,12.94328
80.20726,12.94326
80.20736,12.94323
80.20743,12.9432
80.20746,12.94319
80.20755,12.94315
80.20769,12.94308
80.20777,12.94315
80.20778,12.94316
80.20789,12.94328
80.20804,12.94355
80.20813,12.94381
80.20824,12.94409
80.20825,12.94412
80.20831,12.9441
80.2083,12.94407
80.20819,12.9438
80.20811,12.94358
